head,relation,tail,source
橙子,Nutrient_Content,叶酸,A_quick_guide_to_govt_healthy_eating_update.pdf
强化早餐麦片,Nutrient_Content,叶酸,A_quick_guide_to_govt_healthy_eating_update.pdf
5岁及以上人群,Target_Recommendation,维生素D补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
孕妇,Target_Recommendation,维生素D补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
哺乳期女性,Target_Recommendation,维生素D补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
维生素D补充剂,Recommended_Intake,10µg/天,A_quick_guide_to_govt_healthy_eating_update.pdf
维生素D,Nutrient_Content,少数食物,A_quick_guide_to_govt_healthy_eating_update.pdf
很少户外活动人群,Target_Recommendation,维生素D补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
习惯遮盖皮肤人群,Target_Recommendation,维生素D补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
深色皮肤少数族裔,Target_Recommendation,维生素D补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
6个月至5岁婴幼儿,Target_Recommendation,维生素A和C补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
6个月以下婴儿,Target_Avoid,维生素A和C补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
配方奶喂养婴儿,Target_Avoid,维生素补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
